1,450
2,270
3,192.857
4,150
5,122.727
6,103.846
7,90
8,79.4118
9,71.0526
10,64.2857
11,58.6957
12,54
13,50
14,46.5517
15,43.5484
16,40.9091
17,38.5714
18,36.4865
19,34.6154
20,32.9268
21,31.3953
22,30
23,28.7234
24,27.551
25,26.4706
26,25.4717
27,24.5455
28,23.6842
29,22.8814
30,22.1311
31,21.4286
32,20.7692
33,20.1493
34,19.5652
35,19.0141
36,18.4932
37,18
38,17.5325
39,17.0886
40,16.6667
41,16.2651
42,15.8824
43,15.5172
44,15.1685
45,14.8352
46,14.5161
47,14.2105
48,13.9175
49,13.6364
50,13.3663
51,13.1068
52,12.8571
53,12.6168
54,12.3853
55,12.1622
56,11.9469
57,11.7391
58,11.5385
59,11.3445
60,11.157
61,10.9756
62,10.8
63,10.6299
64,10.4651
65,10.3053
66,10.1504
67,10
68,9.85401
69,9.71223
70,9.57447
71,9.44056
72,9.31034
73,9.18367
74,9.0604
75,8.9404
76,8.82353
77,8.70968
78,8.59873
79,8.49057
80,8.38509
81,8.28221
82,8.18182
83,8.08383
84,7.98817
85,7.89474
86,7.80347
87,7.71429
88,7.62712
89,7.5419
90,7.45856
91,7.37705
92,7.2973
93,7.21925
94,7.14286
95,7.06806
96,6.99482
97,6.92308
98,6.85279
99,6.78392
100,6.71642
101,6.65025
102,6.58537
103,6.52174
104,6.45933
105,6.3981
106,6.33803
107,6.27907
108,6.2212
109,6.16438
110,6.1086
111,6.05381
112,6
113,5.94714
114,5.8952
115,5.84416
116,5.79399
117,5.74468
118,5.6962
119,5.64854
120,5.60166
121,5.55556
122,5.5102
123,5.46559
124,5.42169
125,5.37849
126,5.33597
127,5.29412
128,5.25292
129,5.21236
130,5.17241
131,5.13308
132,5.09434
133,5.05618
134,5.01859
135,4.98155
136,4.94505
137,4.90909
138,4.87365
139,4.83871
140,4.80427
141,4.77032
142,4.73684
143,4.70383
144,4.67128
145,4.63918
146,4.60751
147,4.57627
148,4.54545
149,4.51505
